Temp,RH,Light,Pressure,UV,WifiAmnt,WifiAvg,WifiMax,BLEAmnt,BleAvg,BleMax,Location
27,49,1369,101,0,151,46.94701987,94,66,-80.03030303,-34,Inside
26,51,1383,101,0,164,46.34146341,94,66,-77.42424242,-28,Inside
25,51,1349,101,0,163,46.31288344,85,62,-79.32258065,-37,Inside
25,52,1391,101,0,173,46.76878613,82,67,-78.79104478,-28,Inside
25,52,1391,101,0,171,46.85964912,82,67,-78.40298507,-28,Inside
25,52,1399,101,0,172,46.75,82,57,-81.1754386,-40,Inside
25,52,1399,101,0,173,46.28901734,84,58,-78.84482759,-34,Inside
25,53,1400,101,0,171,46.46783626,84,47,-79.29787234,-34,Inside
25,53,1401,101,0,166,46.84337349,84,53,-79.69811321,-37,Inside
25,53,1402,101,0,168,47.33928571,84,49,-80.32653061,-38,Inside
25,52,1406,101,0,167,47.68862275,84,49,-79.93877551,-37,Inside
25,52,1409,101,0,165,47.52121212,84,52,-81.53846154,-34,Inside
25,52,1411,101,0,175,46.51428571,84,50,-81.58,-34,Inside
25,51,1413,101,0,173,46.74566474,84,57,-81.03508772,-39,Inside
25,51,1350,101,0,172,46.79651163,84,58,-81.15517241,-39,Inside
25,54,1350,101,0,173,46.79190751,84,55,-81.58181818,-60,Inside
25,51,1351,101,0,165,47.29090909,84,52,-81.92307692,-59,Inside
25,53,1354,101,0,159,48.25157233,84,49,-81.12244898,-61,Inside
25,52,1354,101,0,166,47.84337349,84,54,-82.09259259,-63,Inside
25,52,1352,101,0,169,47.75147929,84,53,-82.22641509,-60,Inside
25,52,1352,101,0,171,47.76608187,84,60,-82.78333333,-63,Inside
25,52,1351,101,0,169,47.61538462,84,59,-81.42372881,-57,Inside
25,51,1352,101,0,168,47.73214286,84,59,-79.94915254,-55,Inside
25,51,1358,101,0,166,48.04819277,84,59,-79.77966102,-34,Inside
25,52,1355,101,0,165,47.22424242,84,60,-80.7,-57,Inside
25,51,1356,101,0,167,47.73652695,84,61,-80.81967213,-52,Inside
25,52,1349,101,0,166,47.92168675,84,64,-79.625,-57,Inside
25,51,1328,101,0,169,47.65680473,84,63,-79.31746032,-47,Inside
25,52,1355,101,0,171,47.78362573,84,55,-80.18181818,-56,Inside
25,53,1354,101,0,170,48.08823529,84,57,-80.8245614,-63,Inside
25,52,1355,101,0,169,48.26035503,84,57,-79.56140351,-59,Inside
25,52,1354,101,0,167,48.0239521,84,59,-81.30508475,-60,Inside
24,52,1352,101,0,171,47.73684211,84,58,-80.5,-58,Inside
24,52,1349,101,0,169,47.9112426,84,60,-81.03333333,-63,Inside
25,51,1346,101,0,166,47.69277108,84,60,-81.3,-63,Inside
24,52,1347,101,0,169,48.01775148,82,66,-80.63636364,-60,Inside
24,54,1349,101,0,169,48.0295858,82,60,-80.61666667,-58,Inside
24,53,1350,101,0,166,47.93975904,82,63,-80.38095238,-56,Inside
24,51,1349,101,0,165,48.49090909,82,63,-79.42857143,-58,Inside
24,53,1351,101,0,164,48.45121951,82,52,-80.19230769,-56,Inside
24,53,1354,101,0,148,45.89189189,80,55,-80.92727273,-50,Inside
24,52,1356,101,0,154,45.76623377,80,58,-80.24137931,-56,Inside
24,54,1358,101,0,164,47.5,82,55,-81.23636364,-52,Inside
24,52,1356,101,0,160,48.69375,82,58,-80.5862069,-57,Inside
24,52,1359,101,0,164,48.2804878,82,61,-80.70491803,-59,Inside
24,54,1360,101,0,165,48.10909091,82,66,-81.63636364,-50,Inside
24,53,1363,101,0,166,47.89156627,82,66,-80.13636364,-56,Inside
24,53,1363,101,0,164,48.04878049,82,63,-78.79365079,-54,Inside
24,54,1363,101,0,162,48.96296296,82,65,-79.47692308,-50,Inside
24,53,1359,101,0,162,48.94444444,82,73,-78.98630137,-51,Inside
24,53,1355,101,0,163,49.07361963,82,66,-79.18181818,-55,Inside
24,53,1354,101,0,166,48.40361446,82,74,-78.85135135,-50,Inside
24,51,1352,101,0,165,48.19393939,82,70,-80.1,-53,Inside
24,53,1352,101,0,165,48.64242424,82,78,-79.15384615,-55,Inside
24,52,1352,101,0,162,48.39506173,82,76,-79.59210526,-57,Inside
24,53,1354,101,0,163,48.41104294,82,80,-78.5125,-55,Inside
24,55,1356,101,0,158,48.94303797,82,74,-78.2972973,-57,Inside
24,53,1359,101,0,161,48.55900621,82,72,-79.06944444,-56,Inside
24,53,1359,101,0,157,48.17834395,82,71,-78.64788732,-59,Inside
24,53,1361,101,0,161,47.91925466,82,69,-80.07246377,-57,Inside
24,52,1363,101,0,142,50.8943662,92,77,-80.37662338,-61,Inside
24,52,1367,101,0,160,50.79375,92,69,-78.62318841,-55,Inside
24,53,1370,101,0,160,50.86875,92,71,-80.11267606,-53,Inside
24,53,1372,101,0,166,50.06024096,92,65,-78.53846154,-55,Inside
24,53,1373,101,0,165,50.0969697,92,76,-78.94736842,-53,Inside
24,54,1376,101,0,162,50.09876543,92,74,-79.77027027,-52,Inside
24,52,1377,101,0,163,48.58895706,82,72,-80.51388889,-58,Inside
24,53,1378,101,0,163,48.79754601,82,82,-80.52439024,-56,Inside
24,53,1377,101,0,160,49.825,82,80,-79.975,-57,Inside
24,52,1372,101,0,160,49.6,82,78,-80.24358974,-50,Inside
24,54,1364,101,0,164,49.03658537,82,77,-79.18181818,-54,Inside
24,53,1373,101,0,160,48.55,82,78,-81.38461538,-59,Inside
24,52,1365,101,0,160,48.8125,82,73,-80.87671233,-55,Inside
24,54,1381,101,0,163,48.22699387,82,70,-82.44285714,-50,Inside
24,52,1384,101,0,164,48.67682927,82,69,-81.30434783,-59,Inside
24,53,1387,101,0,163,48.91411043,82,79,-79.15189873,-49,Inside
24,53,1392,101,0,162,48.74074074,82,79,-79.72151899,-57,Inside
24,54,1397,101,0,159,48.83018868,82,78,-80.16666667,-51,Inside
24,54,1406,101,0,158,49.51898734,82,79,-78.88607595,-59,Inside
24,54,1415,101,0,155,49.49677419,82,79,-80.49367089,-55,Inside
24,53,1419,101,0,153,50.1372549,82,75,-78.66666667,-50,Inside
24,53,1418,101,0,154,49.49350649,82,94,-79.39361702,-53,Inside
24,52,1427,101,0,155,49.11612903,82,80,-79.2,-57,Inside
24,53,1429,101,0,157,48.75796178,82,84,-79.46428571,-52,Inside
24,54,1431,101,0,163,47.89570552,82,82,-81.25609756,-53,Inside
24,52,1429,101,0,163,47.74233129,82,82,-81.18292683,-57,Inside
24,52,1423,101,0,165,47.78787879,82,81,-81,-53,Inside
24,54,1424,101,0,163,48.60122699,82,74,-79.91891892,-57,Inside
24,54,1425,101,0,163,48.50306748,82,93,-80.13978495,-54,Inside
24,53,1424,101,0,157,48.04458599,82,100,-80.75,-52,Inside
24,54,1415,101,0,161,47.80745342,82,94,-80.61702128,-57,Inside
24,54,1395,101,0,161,48.49689441,82,91,-80.10989011,-60,Inside
24,53,1422,101,0,162,48.60493827,84,90,-79.75555556,-52,Inside
24,53,1428,101,0,163,48.50306748,84,91,-80.98901099,-55,Inside
24,53,1428,101,0,161,47.76397516,82,95,-80.26315789,-52,Inside
24,52,1428,101,0,160,47.65,82,91,-78.05494505,-54,Inside
24,53,1429,101,0,161,47.69565217,82,94,-79.42553191,-50,Inside
24,52,1429,100,0,159,47.96226415,82,87,-78.82758621,-55,Inside
24,53,1428,100,0,159,47.62264151,82,90,-79.06666667,-59,Inside
24,53,1431,101,0,157,47.59235669,84,84,-78.78571429,-54,Inside
24,53,1433,101,0,157,48.18471338,84,88,-78.94318182,-50,Inside
24,53,1440,101,0,158,48,84,79,-77.72151899,-52,Inside
24,53,1442,100,0,163,48.36196319,84,83,-79.46987952,-57,Inside
24,53,1443,100,0,159,48.43396226,84,81,-79.61728395,-54,Inside
24,52,1448,100,0,156,48.69230769,84,90,-78.9,-59,Inside
24,52,1454,100,0,155,48.81290323,84,87,-79.7816092,-58,Inside
24,53,1454,100,0,158,48.44303797,82,96,-79.9375,-52,Inside
24,53,1459,100,0,166,47.95783133,82,86,-80.70930233,-55,Inside
25,53,1440,100,0,164,47.08536585,84,76,-79.73684211,-41,Inside
25,53,1460,100,0,169,45.49112426,84,88,-79.72727273,-36,Inside
24,52,1507,100,0,169,45.9112426,87,88,-80.44318182,-40,Inside
24,53,1569,100,0,162,45.7037037,87,82,-81.04878049,-40,Inside
25,53,1562,100,0,167,45.63473054,85,83,-80.79518072,-40,Inside
25,53,1569,100,0,170,45.27647059,85,81,-80.79012346,-37,Inside
25,53,1537,100,0,166,45.86746988,80,82,-80.37804878,-38,Inside
25,52,1534,100,0,170,46.10588235,87,87,-81.04597701,-41,Inside
25,53,1541,100,0,165,45.52121212,85,90,-80.77777778,-38,Inside
25,52,1539,100,0,168,46.28571429,85,87,-81.32183908,-43,Inside
25,52,1548,100,0,163,46.6993865,80,85,-80.36470588,-41,Inside
25,51,1483,100,0,165,46.21212121,80,78,-81.17948718,-39,Inside
25,52,1536,100,0,97,54.77319588,87,84,-80.79761905,-43,Inside
25,52,1559,100,0,144,49.84722222,87,76,-80.21052632,-45,Inside
25,51,1561,100,0,163,47.33742331,87,85,-82.22352941,-37,Inside
25,50,1585,100,0,168,46.79166667,89,79,-79.35443038,-49,Inside
25,51,1584,100,0,170,46.40588235,87,84,-79.5952381,-37,Inside
25,50,1582,100,0,171,46.34502924,87,83,-80.03614458,-43,Inside
25,51,1585,100,0,175,44.99428571,87,76,-79.43421053,-37,Inside
25,52,1587,100,0,169,44.95857988,85,73,-79.24657534,-48,Inside
25,51,1585,100,0,168,44.88095238,87,75,-78.89333333,-37,Inside
25,52,1591,100,0,165,45.09090909,87,80,-79.4,-36,Inside
25,51,1587,100,0,166,45.28313253,85,91,-80.07692308,-37,Inside
25,51,1594,100,0,166,46.15662651,85,80,-78.9875,-47,Inside
25,50,1608,100,0,175,46.21714286,87,83,-80.72289157,-37,Inside
26,52,1602,100,0,171,46.59064327,85,85,-80.45882353,-42,Inside
26,49,1596,100,0,176,46.60795455,87,91,-80.2967033,-43,Inside
26,51,1605,100,0,174,46.7816092,85,86,-79.69767442,-55,Inside
25,51,1606,100,0,174,46.9137931,87,84,-80.94047619,-39,Inside
26,51,1605,100,0,175,46.78857143,89,87,-79.65517241,-50,Inside
26,49,1606,100,0,174,46.02298851,87,86,-80.93023256,-50,Inside
26,52,1608,100,0,173,46.43930636,89,79,-80.59493671,-55,Inside
26,51,1611,100,0,176,46.48863636,87,75,-80.34666667,-50,Inside
26,51,1600,100,0,170,46.14705882,85,82,-79.15853659,-32,Inside
26,49,1528,100,0,173,46.27745665,87,73,-80.36986301,-59,Inside
26,51,1530,100,0,173,46.27745665,87,83,-81.45783133,-59,Inside
26,49,1534,100,0,175,46.70285714,89,75,-80.74666667,-56,Inside
26,51,1536,100,0,175,46.70285714,89,84,-81.48809524,-59,Inside
26,49,1536,100,0,177,46.77966102,87,83,-81.57831325,-60,Inside
25,50,1536,100,0,177,46.77966102,87,80,-81.3125,-58,Inside
25,51,1532,100,0,176,46.94886364,87,77,-80.02597403,-57,Inside
26,51,1532,100,0,176,46.69886364,87,78,-80.71794872,-60,Inside
25,50,1534,100,0,176,47.73295455,87,78,-81.6025641,-59,Inside
25,51,1538,100,0,173,47.96531792,85,78,-80.57692308,-59,Inside
25,51,1541,100,0,177,47.59887006,89,80,-82.1,-59,Inside
26,51,1546,100,0,177,47.59322034,84,80,-81.2875,-55,Inside
25,52,1551,100,0,174,47.00574713,87,76,-81.43421053,-58,Inside
25,51,1521,100,0,173,47.87283237,87,77,-81.55844156,-59,Inside
25,50,1475,100,0,172,47.80232558,84,77,-80.97402597,-59,Inside
25,51,1483,100,0,175,47.14285714,84,79,-80.91139241,-59,Inside
25,50,1533,100,0,176,47.79545455,85,72,-80.90277778,-58,Inside
25,50,1568,100,0,176,47.5,85,73,-80.95890411,-56,Inside
25,50,1569,100,0,174,47.8045977,87,77,-81.11688312,-59,Inside
25,50,1570,100,0,176,47.77840909,87,81,-81.19753086,-56,Inside
25,51,1573,100,0,181,47.83425414,89,78,-80.5,-60,Inside
25,52,1498,100,0,177,48.25423729,89,82,-81.56097561,-58,Inside
25,51,1574,100,0,181,47.75690608,87,88,-82.11363636,-58,Inside
25,51,1578,100,0,174,47.3908046,87,81,-81.14814815,-54,Inside
25,51,1465,100,0,173,47.80346821,85,72,-81.875,-57,Inside
25,52,1354,100,0,174,47.53448276,87,74,-82.28378378,-57,Inside
25,51,1315,100,0,179,47.84916201,87,89,-81.5505618,-57,Inside
24,53,1315,100,0,176,47.66477273,89,86,-81.60465116,-56,Inside
25,52,1322,100,0,174,47.17816092,85,76,-81.72368421,-57,Inside
25,52,1342,100,0,175,46.59428571,85,78,-81.1025641,-56,Inside
25,52,1529,100,0,178,46.21348315,89,77,-81.23376623,-56,Inside
25,52,1594,100,0,170,45.88235294,85,81,-81.19753086,-56,Inside
25,50,1605,100,0,170,46.22941176,87,72,-81.41666667,-60,Inside
25,51,1611,100,0,169,47.14201183,87,77,-82.23376623,-59,Inside
25,53,1611,100,0,168,46.99404762,85,76,-81.47368421,-60,Inside
25,52,1612,100,0,167,46.81437126,85,81,-81,-60,Inside
25,52,1617,100,0,171,46.85380117,87,78,-80.92307692,-57,Inside
25,53,1624,100,0,170,47.08823529,87,76,-81.22368421,-57,Inside
25,53,1830,100,0,129,56.89147287,99,95,-77.49473684,-34,Inside
25,52,1904,100,0,185,48.44324324,90,92,-77.04347826,-37,Inside
25,52,1886,100,0,187,48.16042781,89,88,-75.68181818,-32,Inside
25,51,1920,100,0,195,47.66153846,89,87,-76.42528736,-32,Inside
25,53,1934,100,0,194,48.19587629,89,97,-76.39175258,-35,Inside
25,53,1930,100,0,195,47.85128205,89,100,-77.68,-25,Inside
25,52,1923,100,0,195,48.23076923,87,95,-76.29473684,-33,Inside
25,52,1950,100,0,191,48.68586387,87,91,-76.63736264,-30,Inside
25,51,1944,100,0,192,48.66666667,87,100,-76.79,-30,Inside
25,51,1968,100,0,195,47.83076923,87,92,-75.82608696,-26,Inside
25,52,1943,100,0,191,48.13612565,87,99,-76.26262626,-33,Inside
25,49,1973,100,0,192,48.57291667,87,103,-77.30097087,-31,Inside
26,52,1948,100,0,195,48.60512821,87,95,-76.21052632,-32,Inside
26,51,1959,100,0,196,48.30102041,87,103,-78.06796117,-36,Inside
25,51,1962,100,0,195,48.63076923,87,99,-77.11111111,-36,Inside
26,50,1984,100,0,194,48.1443299,89,101,-77.10891089,-35,Inside
26,50,1978,100,0,197,47.83248731,87,98,-77.04081633,-35,Inside
26,51,1975,100,0,198,47.7979798,87,99,-77.26262626,-37,Inside
25,52,1984,100,0,197,47.75126904,87,88,-77.51136364,-39,Inside
